DayOfWeek,CallDate,Calls Inbound,Calls Outbound,Calls Inbound Handled,Calls Outbound Handled,Calls Self-Served,Calls Presented,Calls Abandoned,Handle Time - Inbound Average,Handle Time - Outbound Average,Avg.Wait Time,Avg. Wait Time - Abandoned,Avg. Speed To Answer,Avg. Speed To Answer With Transfer
Wednesday,4/22/2015,7757,2702,5460,1897,2187,5499,39,20.42519963,4.17889299,0.34946536,0.48384615,0.34850549,0.45891392
Thursday,4/23/2015,6968,1981,4887,1391,1958,4925,38,21.45006343,5.60029475,0.32591066,0.28631579,0.32621854,0.43432985
Friday,4/24/2015,6867,1870,4776,1307,2008,4807,31,21.24503978,4.82656465,0.35859372,0.88129032,0.35520101,0.46975293
Saturday,4/25/2015,674,0,0,0,7,0,0,,,,,,
Sunday,4/26/2015,362,0,0,0,2,0,0,,,,,,
Monday,4/27/2015,12082,2626,7040,1783,4806,7185,146,20.51273476,5.0874986,0.84120668,1.83636986,0.82056542,0.94340673
Tuesday,4/28/2015,9441,2284,5627,1621,3675,5690,63,20.42262129,5.29539173,0.48255888,0.95698413,0.4772472,0.57627333
Wednesday,4/29/2015,7985,2178,4837,1563,3002,4907,70,21.30730205,5.06888036,0.51799878,1.93785714,0.4974509,0.60727104
Thursday,4/30/2015,8768,1772,5281,1291,3320,5329,48,20.63246355,5.3344694,0.50468756,1.76458333,0.49323613,0.60918765
Friday,5/1/2015,8770,2627,5051,1899,3553,5092,42,20.8910396,4.34642443,0.44588374,1.07452381,0.44065545,0.55148317
Saturday,5/2/2015,776,0,0,0,6,0,0,,,,,,
Sunday,5/3/2015,305,0,0,0,4,0,0,,,,,,
Monday,5/4/2015,13347,2155,6982,1560,5679,7507,525,19.60525351,5.01169872,2.02831357,3.174,1.94216557,2.1787568
Tuesday,5/5/2015,9434,3284,5364,2402,3890,5409,45,20.5675522,4.02893838,0.48599187,1.23311111,0.47972409,0.57202834
Wednesday,5/6/2015,8273,4157,4885,3041,3226,4922,37,22.04228864,3.65236435,0.31954896,0.61513514,0.31731013,0.4265957
Thursday,5/7/2015,8015,3774,4675,2845,3178,4722,47,21.63680856,3.54189807,0.41044473,0.69468085,0.40758717,0.50879358
Friday,5/8/2015,8177,3452,4495,2570,3476,4539,44,20.95318354,3.94798444,0.43524565,0.75636364,0.43210234,0.54480089
Saturday,5/9/2015,733,0,0,0,8,0,0,,,,,,
Sunday,5/10/2015,259,0,0,0,4,0,0,,,,,,
Monday,5/11/2015,11865,3735,6420,2776,5071,6658,238,21.05656386,4.16957853,1.18025083,2.02407563,1.14896885,1.28683022
Tuesday,5/12/2015,8649,4404,5243,3341,3265,5285,42,21.762428,3.3877402,0.38529801,0.66190476,0.3830822,0.49700935
Wednesday,5/13/2015,7206,4180,4416,3028,2713,4455,40,21.710188,3.59634412,0.34358923,0.927,0.33830351,0.44293545
Thursday,5/14/2015,7242,4077,4410,3013,2750,4444,34,21.45170068,3.29975772,0.32783078,0.16852941,0.32905896,0.43901814
Friday,5/15/2015,7083,3511,4208,2591,2756,4239,31,22.25884743,3.17471633,0.32626327,0.39064516,0.32578897,0.44131179
Saturday,5/16/2015,710,0,0,0,7,0,0,,,,,,
Sunday,5/17/2015,314,0,0,0,2,0,0,,,,,,
Monday,5/18/2015,10007,5809,5816,3999,3982,5871,55,21.01189821,3.03212053,0.44159428,0.63418182,0.43977304,0.56644601
Tuesday,5/19/2015,7638,3636,4511,2263,2971,4545,35,20.32372062,4.25112682,0.33436524,0.16514286,0.33567849,0.43708869
Wednesday,5/20/2015,6601,2989,4101,2080,2397,4127,26,21.17674957,3.79641346,0.32592198,0.25538462,0.32636918,0.44959766
Thursday,5/21/2015,6455,2774,3890,2037,2449,3910,20,20.74688432,3.71949435,0.32610742,0.61,0.32464781,0.43760154
Friday,5/22/2015,6073,3666,3680,2688,2291,3697,17,21.29997554,3.17958333,0.32448472,0.52235294,0.32357065,0.43138587
Saturday,5/23/2015,471,0,0,0,2,0,0,,,,,,
Sunday,5/24/2015,182,0,0,0,3,0,0,,,,,,
Monday,5/25/2015,563,0,0,0,2,0,0,,,,,,
Tuesday,5/26/2015,11188,4735,6331,3320,4394,6645,314,19.96232507,3.38222289,1.46217306,3.60025478,1.35613015,1.57422208
Wednesday,5/27/2015,9525,4784,5599,3392,3089,6298,699,19.40444186,3.1815566,1.81796644,3.53396122,1.70732631,2.09436149
Thursday,5/28/2015,8055,4618,5116,3403,2551,5406,290,20.06547107,3.38570379,1.80929708,3.50510345,1.71317045,1.9890129
Friday,5/29/2015,7566,4087,4892,2892,2496,4990,98,20.52374693,3.43820539,0.81228056,1.54163265,0.79766966,0.9475
Saturday,5/30/2015,678,1,0,0,9,0,0,,,,,,
Sunday,5/31/2015,247,0,0,0,7,0,0,,,,,,
Monday,6/1/2015,12224,4990,5687,3704,5673,6444,758,20.49214034,3.42547516,3.50772657,3.45621372,3.51459374,3.90697151
Tuesday,6/2/2015,8097,4811,4194,3582,3720,4301,107,20.91009776,3.46144054,0.94826087,1.73607477,0.92816166,1.02896042
Wednesday,6/3/2015,6544,3828,3398,2859,3055,3417,19,20.8384432,3.54423924,0.33961077,0.22157895,0.34027075,0.42165391
Thursday,6/4/2015,5610,3263,2943,2362,2585,2959,17,21.02542488,3.52795512,0.32700575,0.72470588,0.32470768,0.43517335
Friday,6/5/2015,5851,3453,3032,2487,2749,3050,18,21.35765172,3.47564938,0.34154098,0.28888889,0.34185356,0.43622032
Saturday,6/6/2015,483,0,0,0,4,0,0,,,,,,
Sunday,6/7/2015,208,0,0,0,2,0,0,,,,,,
Monday,6/8/2015,8374,3366,4193,2430,4081,4228,35,21.38805151,3.43801646,0.35734153,0.52314286,0.35595755,0.44901741
Tuesday,6/9/2015,6189,3310,3200,2369,2895,3218,19,21.91734917,3.31381173,0.32630516,0.57421053,0.32483276,0.41836511
Wednesday,6/10/2015,5679,3088,3003,2210,2597,3029,26,22.25484182,3.43536199,0.37548696,0.91423077,0.37082251,0.49073926
Thursday,6/11/2015,5424,2638,2765,1869,2586,2781,16,21.47236528,3.31548957,0.32208273,0.148,0.32302712,0.41714286
Friday,6/12/2015,5560,2315,2668,1698,2650,2827,159,23.0553036,3.87122497,0.35111433,1.39,0.34199749,0.4821145
Saturday,6/13/2015,526,0,0,0,10,0,0,,,,,,
Sunday,6/14/2015,177,0,0,0,3,0,0,,,,,,
Monday,6/15/2015,8353,2068,4165,1466,4035,4228,64,22.70719981,5.09553206,0.38153737,0.51375,0.37950528,0.50162584
Tuesday,6/16/2015,5789,1794,2970,1294,2710,3014,44,22.11191246,4.10659969,0.31720637,0.18227273,0.31920539,0.42833333
Wednesday,6/17/2015,5156,1887,2694,1412,2357,2746,52,21.78742762,4.81153683,0.3312236,0.27615385,0.33228656,0.449098
Thursday,6/18/2015,4933,3348,2598,2422,2225,2640,42,21.45682448,3.85409992,0.33231439,0.24571429,0.3337144,0.45583911
Friday,6/19/2015,4835,3183,2875,2315,1849,2909,34,21.30570783,2.76139093,0.32692334,0.22882353,0.32808348,0.44412522
Saturday,6/20/2015,464,1,0,0,9,0,0,,,,,,
Sunday,6/21/2015,169,0,0,0,5,0,0,,,,,,
Monday,6/22/2015,7213,3541,3575,2475,3519,3628,53,22.09554965,3.52878788,0.3231753,0.29113208,0.32365035,0.4298993
Tuesday,6/23/2015,5880,4142,2963,2972,2828,3000,37,20.82748566,3.1359926,0.34535667,0.19054054,0.34728991,0.46083699
Wednesday,6/24/2015,5048,3583,2554,2586,2385,2598,44,21.70936179,3.03815932,0.33414165,0.85840909,0.32510963,0.45516836
Thursday,6/25/2015,5303,3652,2744,2618,2475,2785,41,21.17089286,2.89072574,0.3229623,0.17219512,0.32521501,0.43186953
Friday,6/26/2015,5026,2914,2633,2143,2296,2669,36,21.58489556,3.39116192,0.32809667,0.16555556,0.33031903,0.49887581
Saturday,6/27/2015,427,0,0,0,10,0,0,,,,,,
Sunday,6/28/2015,144,0,0,0,8,0,0,,,,,,
Monday,6/29/2015,7111,3226,3684,2347,3306,3735,51,22.25358306,3.39193438,0.31201606,0.37960784,0.31108035,0.44174267
Tuesday,6/30/2015,5318,3508,2865,2439,2332,2916,51,22.1739651,3.54377614,0.30968107,0.30666667,0.30973473,0.45379058
Wednesday,7/1/2015,4495,2607,2465,1773,1956,2489,24,22.40962272,3.56756909,0.29790679,0.13625,0.29948073,0.41827992
Thursday,7/2/2015,4291,2362,2248,1684,1968,2283,35,22.38747776,3.17668052,0.34636881,0.19514286,0.34872331,0.48224644
Friday,7/3/2015,1634,0,0,0,23,0,0,,,,,,
Saturday,7/4/2015,171,0,0,0,4,0,0,,,,,,
Sunday,7/5/2015,124,0,0,0,6,0,0,,,,,,
Monday,7/6/2015,6904,3170,3649,2340,3157,3690,41,21.56608934,4.12233333,0.29847696,0.12878049,0.30038367,0.41967662
Tuesday,7/7/2015,5629,3757,2976,2730,2553,3019,43,22.05752352,4.02379487,0.32425969,0.25302326,0.32528898,0.42668347
Wednesday,7/8/2015,4921,2485,2640,1821,2210,2671,31,23.10425758,4.15435475,0.30738675,0.14645161,0.30927652,0.42861364
Thursday,7/9/2015,4485,2318,2443,1755,1971,2473,30,21.92421203,4.02947009,0.34347756,0.16433333,0.34567745,0.49016373
Friday,7/10/2015,4687,1342,2421,986,2185,2454,33,22.54805452,4.5196146,0.33729014,0.36515152,0.33691037,0.48420074
Saturday,7/11/2015,397,0,0,0,3,0,0,,,,,,
Sunday,7/12/2015,203,0,0,0,5,0,0,,,,,,
Monday,7/13/2015,11869,1895,6412,1480,3249,8062,1649,24.10189177,5.15193919,5.17927065,8.19988478,4.40325483,4.56106207
Tuesday,7/14/2015,6450,2482,4006,1862,2290,4075,69,23.91176735,4.40222342,0.34110675,0.32391304,0.3414029,0.46802546
Wednesday,7/15/2015,5877,1010,3657,746,2096,3729,72,23.67734482,5.30924933,0.35976669,0.3825,0.35931911,0.47545529
Thursday,7/16/2015,5399,1296,3221,957,2050,3289,69,24.08635404,5.34496343,0.38989054,0.39826087,0.38971118,0.50574845
Friday,7/17/2015,5447,993,3243,724,2071,3301,58,23.22126735,5.48383978,0.36909118,0.17844828,0.37250077,0.49556275
Saturday,7/18/2015,476,0,0,0,1,0,0,,,,,,
Sunday,7/19/2015,160,0,0,0,2,0,0,,,,,,
Monday,7/20/2015,7575,1023,4556,788,2876,4632,77,23.37278156,6.24404822,0.35884233,0.5224,0.35614929,0.46874863
Tuesday,7/21/2015,5859,1063,3540,805,2196,3602,62,23.00069774,5.43951553,0.37215713,1.0916129,0.3595565,0.4714096
Wednesday,7/22/2015,5088,1455,3084,1021,1904,3129,45,22.5154118,4.60182174,0.33232982,1.14088889,0.32053178,0.4219585
Thursday,7/23/2015,5156,1112,3066,804,1978,3125,59,21.92307567,6.01655473,0.3413792,0.15135593,0.34503588,0.47398891
Friday,7/24/2015,5333,2443,3109,1932,2114,3164,55,22.08888389,4.17822464,0.34466182,0.35290909,0.34451592,0.43579608
Saturday,7/25/2015,507,0,0,0,6,0,0,,,,,,
Sunday,7/26/2015,166,0,0,0,2,0,0,,,,,,
Monday,7/27/2015,9202,12827,5723,10321,3291,5823,100,22.62340381,5.21613216,0.33797871,0.3312,0.33809715,0.43526996
Tuesday,7/28/2015,7484,14048,4878,11136,2444,4966,88,22.68005535,5.23737787,0.32637737,0.24829545,0.32778598,0.40561911
Wednesday,7/29/2015,7211,15106,4792,11975,2264,4866,74,22.29018573,5.08010856,0.31025688,0.21027027,0.31180092,0.38113105
Thursday,7/30/2015,7736,16052,5129,12629,2389,5224,95,21.64383701,4.9344184,0.29862366,0.14421053,0.30148372,0.3571164
Friday,7/31/2015,7647,15865,5124,12273,2359,5207,85,21.83298516,4.47587713,0.31872863,0.15388235,0.32146427,0.39255174
Saturday,8/1/2015,613,0,0,0,7,0,0,,,,,,
Sunday,8/2/2015,207,0,0,0,6,0,0,,,,,,
Monday,8/3/2015,10177,14101,6623,10948,3318,6731,108,21.2274045,4.77900712,0.29992572,0.21972222,0.30123358,0.3614661
Tuesday,8/4/2015,8109,13392,5540,10292,2403,5653,113,21.53610108,4.69952293,0.2822236,0.17460177,0.28441877,0.33871841
Wednesday,8/5/2015,7739,13814,5338,10665,2235,5430,93,21.27701892,4.88099015,0.29415101,0.17344086,0.29625445,0.35020986
Thursday,8/6/2015,8084,14005,5715,10607,2226,5805,90,21.03024322,4.73890073,0.30408096,0.17088889,0.30617848,0.35788451
Friday,8/7/2015,7581,10550,5152,7726,2259,5253,101,20.89173331,3.95368884,0.32042262,0.16009901,0.32356561,0.38371894
Saturday,8/8/2015,621,1,0,0,21,0,0,,,,,,
Sunday,8/9/2015,185,0,0,0,4,0,0,,,,,,
Monday,8/10/2015,11219,4904,7568,3641,3425,7709,145,20.65122686,4.66303213,0.36275392,0.46675862,0.36076018,0.42822581
Tuesday,8/11/2015,8758,7249,5892,4164,2708,5985,93,20.82745418,4.66005524,0.30691061,0.20387097,0.308537,0.38241005
Wednesday,8/12/2015,7389,10401,4953,6937,2315,5018,65,21.01397739,4.32655471,0.30147469,0.18692308,0.30297799,0.36469009
Thursday,8/13/2015,6933,8528,4824,6694,1950,4919,95,20.49966211,4.49942486,0.29961374,0.12157895,0.30311982,0.36476161
Friday,8/14/2015,7083,8466,4854,6828,2108,4927,73,21.01570869,6.44844903,0.30654354,0.11260274,0.30946024,0.36976514
Saturday,8/15/2015,565,0,0,0,6,0,0,,,,,,
Sunday,8/16/2015,239,0,0,0,3,0,0,,,,,,
Monday,8/17/2015,10366,8926,7098,5616,3062,7226,128,20.65685827,5.08513177,0.30718793,0.15695312,0.30989715,0.37367146
Tuesday,8/18/2015,8069,7957,5672,5788,2246,5758,86,20.13611425,5.60368176,0.3201893,0.20313953,0.32196403,0.38732722
Wednesday,8/19/2015,7301,7801,5172,6084,1955,5269,97,20.70768175,6.01498685,0.33235529,0.2342268,0.33419567,0.42423434
Thursday,8/20/2015,6920,8713,4880,6134,1910,4956,76,21.00058197,3.86798337,0.32600484,0.28342105,0.32666803,0.3932377
Friday,8/21/2015,7256,7744,5038,5931,2078,5137,100,19.98014096,5.66332828,0.29053923,0.1576,0.29317848,0.35486401
Saturday,8/22/2015,616,0,0,0,3,0,0,,,,,,
Sunday,8/23/2015,220,0,0,0,9,0,0,,,,,,
Monday,8/24/2015,10663,9819,7356,7506,3084,7511,154,20.40489396,4.7109206,0.32632938,0.17461039,0.30782355,0.3605832
Tuesday,8/25/2015,8517,11075,6002,8405,2324,6119,117,20.23368377,4.42157049,0.31298251,0.19649573,0.31525325,0.36850217
Wednesday,8/26/2015,7509,11732,5412,8405,1935,5510,98,20.78990022,4.20306841,0.34540653,0.38663265,0.34466001,0.40996674
Thursday,8/27/2015,7622,14116,5396,10032,2080,5493,97,20.6297424,3.89792265,0.31138722,0.17484536,0.31384173,0.38749259
Friday,8/28/2015,7820,12292,5465,9159,2178,5579,114,20.01532662,4.14787422,0.30084603,0.17315789,0.30350961,0.35478317
Saturday,8/29/2015,590,0,0,0,9,0,0,,,,,,
Sunday,8/30/2015,199,0,0,0,3,0,0,,,,,,
Monday,8/31/2015,11086,11437,7807,8772,3018,7973,167,19.79070211,4.63048108,0.30599849,0.15580838,0.30921204,0.3675157
Tuesday,9/1/2015,9337,14009,6388,10875,2751,6516,128,19.96621634,3.79811678,0.31532228,0.23210938,0.31698967,0.37439574
Wednesday,9/2/2015,8504,14287,6178,11216,2129,6302,124,19.71679832,4.58715139,0.33715963,0.3766129,0.33636776,0.39472807
Thursday,9/3/2015,7980,11962,5709,8214,2080,5828,120,18.96981955,3.87566107,0.35529684,0.28025,0.35687456,0.43036615
Friday,9/4/2015,7328,13420,5072,8457,2068,5205,133,19.82407137,3.40601041,0.36857061,0.34646617,0.36915024,0.45133675
Saturday,9/5/2015,534,0,0,0,10,0,0,,,,,,
Sunday,9/6/2015,188,0,0,0,3,0,0,,,,,,
Monday,9/7/2015,647,0,0,0,9,0,0,,,,,,
Tuesday,9/8/2015,11217,12460,7779,10067,3172,7959,180,19.40971719,3.33569584,0.36470913,0.36511111,0.36469983,0.45040237
Wednesday,9/9/2015,9285,11701,6595,7969,2467,6737,142,19.13223199,3.11319864,0.35565088,0.22887324,0.35838059,0.43684761
Thursday,9/10/2015,8995,14824,6280,10666,2529,6403,123,18.86211943,3.46403525,0.34194596,0.23130081,0.34411306,0.41379936
Friday,9/11/2015,8032,14885,5603,9137,2251,5700,97,19.47437623,3.42338623,0.32596491,0.20876289,0.32799393,0.38676423
Saturday,9/12/2015,634,0,0,0,7,0,0,,,,,,
Sunday,9/13/2015,248,0,0,0,5,0,0,,,,,,
Monday,9/14/2015,12247,16724,8104,11017,3914,8249,145,19.46357231,3.23301625,0.33039762,0.2042069,0.33265548,0.39739635
Tuesday,9/15/2015,10168,16441,6577,10658,3373,6720,145,18.89848821,2.81411991,0.31687054,0.25724138,0.31818555,0.37366084
Wednesday,9/16/2015,8580,18795,5705,10598,2692,5825,120,18.76246275,2.68640309,0.31055451,0.15875,0.31374759,0.37317616
Thursday,9/17/2015,9146,14999,6050,10970,2908,6171,121,18.90004132,3.88442662,0.3558467,0.20033058,0.35895702,0.43519008
Friday,9/18/2015,9147,20736,5922,12196,3057,6028,106,19.06150456,2.34361348,0.35577804,0.345,0.35597096,0.43152651
Saturday,9/19/2015,732,0,0,0,12,0,0,,,,,,
Sunday,9/20/2015,225,0,0,0,9,0,0,,,,,,
Monday,9/21/2015,13268,22553,8368,14415,4654,8529,162,18.50428589,2.94005619,0.34496893,0.18191358,0.34812597,0.42639178
Tuesday,9/22/2015,11364,18585,7181,13711,3898,7349,168,17.93137585,3.13828094,0.32992244,0.20583333,0.33282551,0.40108481
Wednesday,9/23/2015,9858,19855,6522,13731,3127,6649,127,17.62168353,2.65560338,0.30518875,0.18614173,0.3075069,0.39052438
Thursday,9/24/2015,9134,14680,6131,8229,2838,6242,111,17.36651607,2.59775307,0.31432714,0.28756757,0.31481161,0.39288534
Friday,9/25/2015,9280,20413,6198,11775,2923,6305,108,17.80581249,2.46307346,0.31580016,0.1587037,0.318538,0.39281588
Saturday,9/26/2015,943,0,0,0,11,0,0,,,,,,
Sunday,9/27/2015,248,0,0,0,5,0,0,,,,,,
Monday,9/28/2015,15112,17373,9392,12851,5466,9550,159,17.17919497,3.08096257,0.31555288,0.21069182,0.31732829,0.39093387
Tuesday,9/29/2015,12165,18504,7804,11859,4122,7975,171,16.91068683,2.61986255,0.32356489,0.25163743,0.32514095,0.39690671
Wednesday,9/30/2015,10854,3707,6939,2388,3705,7069,130,17.60630206,4.02054439,0.36278823,0.30453846,0.36387952,0.43452227
Thursday,10/1/2015,11644,6311,8055,4626,3355,8195,140,32.58507883,3.96398184,0.36347407,0.42764286,0.36235878,0.52798634
Friday,10/2/2015,11463,5539,7930,3797,3356,8037,108,31.55196368,4.47396366,0.30868732,0.23555556,0.30968344,0.42777147
Saturday,10/3/2015,4786,511,1638,284,539,1843,205,55.88703907,18.77609155,3.74413999,4.51682927,3.6474359,7.04096459
Sunday,10/4/2015,466,0,0,0,19,0,0,,,,,,
Monday,10/5/2015,20693,4128,14410,3037,5334,15229,819,38.11570507,5.90931182,2.02053582,1.91300366,2.02664747,2.63424011
Tuesday,10/6/2015,18795,3430,13353,2428,4593,14097,744,41.90629521,6.90550247,2.05179825,1.9131586,2.05952295,2.96902793
Wednesday,10/7/2015,18556,3551,13182,2509,4618,13767,586,41.4156976,6.67672379,1.94737633,1.99322526,1.94533799,2.59779986
Thursday,10/8/2015,19499,3319,13482,2368,5211,14150,668,41.83013129,7.31416385,1.91452721,2.01429641,1.90958389,2.66584854
Friday,10/9/2015,19247,3116,13179,2137,5367,13781,602,41.49773427,7.09159102,1.9644721,1.98687708,1.96344867,2.69793535
Saturday,10/10/2015,4132,310,2504,198,880,2869,365,60.92734026,12.59161616,4.18782154,3.27868493,4.32034345,6.89425319
Sunday,10/11/2015,444,0,0,0,8,0,0,,,,,,
Monday,10/12/2015,20474,3101,14519,2278,5420,14921,402,37.01950548,6.89863477,1.01818779,1.35629353,1.00882637,1.41335423
Tuesday,10/13/2015,23060,2930,15849,2088,6245,16689,840,38.04409237,7.81079502,2.07434298,1.95610714,2.0806095,3.04859676
Wednesday,10/14/2015,23496,2660,15800,1870,6444,16885,1085,41.43066709,7.47014439,2.45437074,2.13331797,2.47641772,4.00559747
Thursday,10/15/2015,26526,3023,17945,2256,6502,19772,1828,45.34757412,8.29499113,3.17024327,2.69439825,3.21871879,5.87804726
Friday,10/16/2015,28536,3285,17567,2361,7576,20822,3255,44.15827347,6.83224481,4.67358467,4.09996313,4.77987135,7.83963397
Saturday,10/17/2015,4875,530,3135,337,865,3371,236,60.44787879,10.8348368,2.50145654,2.30385593,2.51633174,3.82198405
Sunday,10/18/2015,665,0,0,0,18,0,0,,,,,,
Monday,10/19/2015,43621,3835,21069,2926,11213,32213,11145,39.76456759,6.55965482,9.70969857,6.95437236,11.16726979,16.22046801
Tuesday,10/20/2015,35875,3903,18348,2854,8847,26765,8417,45.61574395,6.85469867,9.22459593,6.5389046,10.4566356,16.01935688
Wednesday,10/21/2015,31340,3920,17455,2887,7202,23910,6455,47.70607791,6.52812262,8.15952251,6.22862305,8.86971298,14.38309252
Thursday,10/22/2015,28325,4536,17870,3228,6318,21792,3922,47.17751483,6.52472119,5.73276936,4.6331642,5.97410409,10.49181869
Friday,10/23/2015,27973,3816,16564,2736,6368,21446,4883,48.30171889,6.33792398,7.5296023,5.84727984,8.02323794,13.50616917
Saturday,10/24/2015,5164,165,2975,125,1014,3488,513,64.85458487,10.19384,5.59378154,4.13327485,5.84562689,9.51375462
Sunday,10/25/2015,659,0,0,0,10,0,0,,,,,,
Monday,10/26/2015,35373,3263,20633,2465,9526,25619,4988,39.78300567,6.8619432,6.01902377,4.377917,6.41579759,9.28620523
Tuesday,10/27/2015,31371,3794,19258,2840,7302,23896,4639,42.26273044,6.17726761,6.31526741,5.0456219,6.62112427,10.51085475
Wednesday,10/28/2015,30549,3592,17580,2557,7171,23231,5651,46.49596815,7.66587798,7.98327364,6.03458503,8.60966951,15.37315074
Thursday,10/29/2015,27510,3917,18422,2872,6524,20810,2387,42.21130225,7.01827646,3.7746379,3.0381902,3.87006188,6.89806427
Friday,10/30/2015,26426,3429,16809,2577,6317,19956,3147,44.20114046,6.52352348,5.47356584,4.61257388,5.63476173,10.43714855
Saturday,10/31/2015,4878,394,3207,276,1020,3314,107,59.00416589,8.59336957,1.49285757,1.65504673,1.48744621,3.03343312
Sunday,11/1/2015,677,0,0,0,11,0,0,,,,,,
Monday,11/2/2015,39304,3826,21210,2928,10195,28796,7598,39.56123549,7.09055328,7.97199007,5.52985903,8.84640155,13.14448014
Tuesday,11/3/2015,30662,4052,19571,3057,7389,23004,3435,41.79091369,7.53803402,4.93583768,3.49465793,5.1888119,8.82645613
Wednesday,11/4/2015,28671,4032,18887,3083,6512,21907,3021,43.15991846,7.50727214,4.70026841,3.37678914,4.91197183,9.18939532
Thursday,11/5/2015,28107,4202,18641,3131,5839,22076,3435,42.52493911,7.69997445,5.22007565,3.86115866,5.47048495,9.81631833
Friday,11/6/2015,30017,4017,17825,2996,6184,23622,5797,43.81429229,7.81664887,8.50057489,6.25025013,9.23241964,16.8803798
Saturday,11/7/2015,5300,468,3451,326,836,3816,365,56.73454361,8.87457055,4.06275419,3.63723288,4.10776007,13.02111562
Sunday,11/8/2015,679,0,0,0,7,0,0,,,,,,
Monday,11/9/2015,40803,4020,20611,3050,8808,31734,11124,40.21454294,8.19741311,11.65775603,7.81471953,13.73198884,21.49458903
Tuesday,11/10/2015,36761,4322,18994,3269,7614,28875,9882,42.48356816,8.30976445,11.91472426,8.01808911,13.94069552,23.84054283
Wednesday,11/11/2015,28743,4384,17969,3245,5542,22894,4925,44.38050253,8.39791063,7.67184117,5.46835703,8.27565641,15.73609494
Thursday,11/12/2015,32620,4232,18148,3090,6367,25961,7814,44.29225767,8.41413269,10.8641832,7.61455465,12.26345567,21.27590676
Friday,11/13/2015,34415,4046,17816,3028,7379,26688,8872,42.57239335,7.91681638,11.90269655,7.79979707,13.94539515,20.52591435
Saturday,11/14/2015,6110,1220,4165,815,1055,4285,121,52.52742315,7.0847362,0.88874446,1.19363636,0.87988473,1.27384006
Sunday,11/15/2015,816,0,0,0,13,0,0,,,,,,
Monday,11/16/2015,64233,3713,16469,2786,10186,37064,20598,39.07224901,8.56315506,16.61859338,16.65621411,16.57236319,23.40905679
Tuesday,11/17/2015,57372,4525,18727,3445,9133,35626,16901,40.9314008,8.9122119,14.23254885,8.38611687,19.50635834,27.09156208
Wednesday,11/18/2015,41725,5274,20224,4007,8212,32902,12494,40.86138951,8.41490891,10.47348975,5.63633397,12.61803837,18.35672304
Thursday,11/19/2015,38703,5158,18877,3909,7542,30659,11783,43.09751218,8.39760808,10.6189592,5.70957057,13.68355584,23.42998782
Friday,11/20/2015,38098,5156,18297,3855,8000,29553,11279,43.05487961,8.87372244,10.94903225,6.39253303,13.76137518,22.67467604
Saturday,11/21/2015,7734,11404,5408,8393,1344,5612,204,51.85008506,3.46648755,0.80163222,1.84607843,0.76223373,2.2565588
Sunday,11/22/2015,946,1037,0,812,26,0,0,,8.90580049,,,,
Monday,11/23/2015,43401,4915,21349,3734,9524,33332,11879,40.25132843,9.67409213,10.19964239,5.59168533,12.40849773,18.3104981
Tuesday,11/24/2015,33015,5525,20071,4261,7117,25467,5396,40.99544168,8.29089181,5.27708564,3.59044848,5.73053062,9.66851577
Wednesday,11/25/2015,23747,5182,17296,3953,4696,18870,1574,40.81803018,8.47405009,2.22473132,2.4480305,2.20441027,4.97633441
Thursday,11/26/2015,362,0,0,0,11,0,0,,,,,,
Friday,11/27/2015,19062,3970,13853,2928,3631,15207,1355,46.13639691,8.60289617,2.91424015,2.7302214,2.93224083,10.22925715
Saturday,11/28/2015,6177,7199,4516,4656,1141,4628,112,52.76063552,4.76107603,0.65407519,1.17116071,0.64125111,1.042531
Sunday,11/29/2015,984,0,0,0,14,0,0,,,,,,
Monday,11/30/2015,52405,4130,21707,3111,13651,38180,16478,38.89736384,10.71012215,14.53413384,8.31362301,19.25727352,25.56733942
Tuesday,12/1/2015,45274,5355,20482,3986,6260,38360,17883,38.95197002,8.15398144,16.17697732,10.34383828,21.27118181,29.31075402
Wednesday,12/2/2015,45644,6195,19641,4601,10401,34494,14859,40.29464782,8.12923278,15.95731837,9.74024093,20.66215941,31.64339547
Thursday,12/3/2015,43643,5198,19841,4035,9281,33462,13633,40.1234157,8.92410409,15.2499994,9.1172816,19.46641686,32.52425337
Friday,12/4/2015,44241,5448,19912,4119,9017,34126,14214,40.51124799,8.45874241,17.4093187,10.25940411,22.51322017,34.87599538
Saturday,12/5/2015,11001,4035,6492,2917,1865,7241,749,41.8480345,6.13394583,3.23505869,3.71630174,3.17953635,12.84545132
Sunday,12/6/2015,2073,847,0,721,22,0,0,,9.85223301,,,,
Monday,12/7/2015,52161,6818,25333,5056,14431,36296,10967,35.6302357,8.03016812,11.75451716,8.03464903,13.3529634,17.86545659
Tuesday,12/8/2015,27756,12659,15709,9402,9107,18346,2637,33.32604876,5.48764518,3.7794958,3.86794463,3.76464829,5.5347616
Wednesday,12/9/2015,22815,13962,13685,10010,7361,15223,1538,32.61042309,4.74112587,2.45669053,2.87228218,2.40998392,5.76846767
Thursday,12/10/2015,20067,13510,12951,8765,6094,13796,847,31.77612171,4.84494124,1.65106045,2.62299882,1.58748552,4.00682987
Friday,12/11/2015,19716,12878,12757,8095,6172,13377,621,29.8346731,4.77390982,1.39093145,2.12991948,1.35495532,4.38748354
Saturday,12/12/2015,3406,3756,2065,2547,931,2213,148,37.43229056,3.85261877,3.2158563,6.39837838,2.98776271,9.56377724
